key,time,mstar,mgas,mass,Rvir,x,y,z,Hdist,sfr,t_infall,HI_mass,OVI_mass,host_mass_frac,host_HI_frac,host_OVI_frac,M_inhalo,HI_inhalo,OVI_inhalo
h148_65,13.800797497085432,30012934.913910694,0.0,899610762.6510435,20.34128033181617,-33.33,-76.81,83.05,117.92,0.0,,0.0,0.0,0.000498760739094382,0.0007944853669989562,0.0009717116993011535,0.0,0.0,0.0
h148_251,13.800797497085432,2149495.8941822173,0.0,181562061.31852707,11.952184247992392,197.98,6.38,-219.66,295.78,0.0,,0.0,0.0,0.000279623064501374,0.000673361857547711,0.0008457860897191578,0.0,0.0,0.0
h148_249,13.800797497085432,2063790.3327528015,0.0,186138624.17114863,12.084550678374644,29.14,180.63,10.97,183.29,0.0,,0.0,0.0,0.0006917403001997869,0.0014473301624445493,0.0010746983349966745,0.0,0.0,0.0
h148_282,13.800797497085432,3984285.8970111087,0.0,149531828.93202177,11.235650021649143,112.71,128.88,60.19,181.49,0.0,,0.0,0.0,0.0002071317896954658,0.0004769377850174668,0.00052195636234924,0.0,0.0,0.0
h229_14,13.800797497013598,3338274.865992406,27035425.354534633,2403510707.230802,28.258459650798596,257.66,301.63,-53.13,400.24,0.0,,2421080.497716938,95.00366339209643,0.0006507959183995783,0.00024471636082202316,0.0009711241686933794,0.5398212301506278,0.5312463716031325,0.06970784405483763
h229_18,13.800797497013598,77148780.74741861,0.0,1509991017.160223,24.20973256449638,20.23,43.32,128.95,137.53,0.0,,0.0,0.0,0.003526123824291265,0.005232791836470585,0.004189601950506316,0.0,0.0,0.0
h229_20,13.800797497013598,861068.1857683044,651979.0485182952,2025912376.8735456,26.697663736539592,-7.16,200.96,-183.88,272.48,0.0,,645.5090039488274,1.3344738574667718,0.00033180297662723857,7.497990747582552e-05,0.00038663640062709437,0.025533769657131434,0.0004622821850332351,0.002459367290368901
h229_22,13.800797497013598,4786507.657121212,0.0,1551642398.9226277,24.44765570597702,-27.96,-38.13,-219.32,224.36,0.0,,0.0,0.0,0.0004044016782564899,0.0002501656418360065,0.0006460745201484649,0.0,0.0,0.0
h229_49,13.800797497013598,6790766.609284809,0.0,764197462.6010264,19.306725576352832,7.39,-109.24,-11.25,110.06,0.0,,0.0,0.0,0.0007502885213697915,0.0006365893805879973,0.0005243339674661561,0.0,0.0,0.0
h242_8,13.80079749716859,0.0,291615.90374339564,5397005931774.23,2524.2553706969024,2618.05,-5147.36,-1756.73,6036.19,0.0343544382822162,,0.010089218647325194,2.3598619138818765e-10,0.0423654538760478,0.05361564241085901,0.03332668245788284,7.515516039305659e-05,8.700135500873902e-12,6.126793533919611e-15
h242_10,13.80079749716859,247713761.54438406,2276691523.6209803,121172526181.34035,14901.587087815846,578.01,-945.7,-335.24,1157.94,0.0093964879510442,,271014192.81752896,41576.01366064875,0.04657942154756611,0.056213135966817034,0.04513761455967319,0.533666036038437,0.22290212966748385,0.7969718474172115
h242_21,13.80079749716859,0.0,0.0,1139805616924.9946,29062.027289386493,-4040.41,2166.01,6379.09,7855.53,0.0,,0.0,0.0,0.0022154285473685582,0.00030358787157421695,0.004424018796062153,0.0,0.0,0.0
h242_30,13.80079749716859,53225992.54636951,1453714408.9463034,7091479897.943141,24867.343522212002,-20494.08,-13965.2,-1154.72,24826.75,0.0,,735652908.962954,0.0006335230076795468,0.000724208405444077,0.0009229572362118946,0.0006270283286927588,21.91669168874447,36.85117790981675,8.742063706724364e-07
h242_38,13.80079749716859,0.0,0.0,7776950026.028797,17343.014157354482,-21.7,-30.72,-32.68,49.82,0.0,,0.0,0.0,0.0004655380947442056,7.462993611297068e-05,0.0004234281027170751,0.0,0.0,0.0
h242_69,13.80079749716859,11492300.951477801,43813911.02664311,9322222863.610449,23912.83907522879,1.33,0.74,-5.71,5.91,0.0,,6489502.792108497,918.829509565319,0.0028117108489768314,0.0023721892637291507,0.002153493164475872,0.17013780660369945,0.12648006622430075,0.3691732074450576
h242_401,13.80079749716859,0.0,0.0,89678236952.14124,32993.649324355305,2363.01,-11798.8,2783.86,12350.93,0.0,,0.0,0.0,0.0005087705127810745,0.0006605563860556155,0.0004216735988036023,0.0,0.0,0.0
h329_7,13.800797497330509,27474018.441916022,247679096.97929296,5129210461.352672,32.738172725846056,53.53,-33.41,15.58,64.99,0.001192567626546,,67564917.98379108,0.04063189815921346,0.017682250182642724,0.11197894435906554,0.0025937183244857656,0.5240040796176249,0.971270154701912,2.0606426930605793e-05
h329_29,13.800797497330509,1491120.936900578,0.0,1403477617.3003492,23.65859359880608,-240.56,-506.82,113.85,572.45,0.0,,0.0,0.0,0.001572509037897738,0.0019539355300006197,0.0019232252778529821,0.0,0.0,0.0
h329_117,13.800797497330509,3084173.3895318643,0.0,239885024.5650137,13.075618704012859,52.26,59.03,-81.65,113.5,0.0,,0.0,0.0,6.204607281074076e-05,7.655438600378637e-05,7.756336223324077e-05,0.0,0.0,0.0
h148_7,,235953714.6012626,159651425.64553666,15611299567.827047,52.752687566213595,-112.68,93.32,-317.38,349.48,,,34204216.26249091,869.2021435485879,0.0019085434751985578,0.0012043979243843426,0.002084438458026031,0.5477762529125225,2.0081830939837473,0.15980896604381042
h148_23,,100401282.80828826,377541129.3180728,3333412278.699368,32.018840733120875,180.87,90.67,-160.7,258.38,,,92353801.36574203,20.02626068212722,0.009279553632373167,0.01711986520675649,0.012794447177503263,0.26642172846676904,0.3814592025138076,0.000599857053271119
