,satRvir,a,satRvir,hostRvir,sat_Xc,sat_Yc,sat_Zc,sat_vx,sat_vy,sat_vz,host_Xc,host_Yc,host_Zc,host_vx,host_vy,host_vz,sat_Mstar,sat_Mgas,host_Mstar,host_Mgas,sat_r_half,sat_r_gas,host_r_half,host_r_gas,x,y,z
h229_49,24.292780048530567,0.5960564099761234,24.292780048530567,144.18231112800925,15500.779704292252,12956.317204298884,14502.551975465338,-91.77,-151.57,66.35,15307.444276220549,12812.641444566918,14564.087600093275,47.59,-140.92,-18.67,4430970.0,45211900.0,45295400000.0,39028400000.0,0.6373717076581744,0.45861511655930765,0.9792473876210523,18.45305532716273,-193.33542807170306,-143.67575973196654,61.53562462793707
h242_8,39.9009903620512,0.4000099536676741,39.9009903620512,93.54303184286798,10620.269999348224,11617.881548064774,10341.734518098083,-37.03,192.72,-12.88,10440.901915387205,11546.791010670948,10352.83969335503,37.25,235.48,36.28,280072000.0,2436760000.0,16127600000.0,32077700000.0,1.8266894738973019,6.909977673776307,2.2506561120710646,10.261310815015722,-179.36808396101878,-71.0905373938258,11.105175256947405
h242_10,41.71896447913875,0.4000099536676741,41.71896447913875,93.54303184286798,10568.467989482164,11636.973684440825,10222.202546566368,15.66,268.18,143.0,10440.901915387205,11546.791010670948,10352.83969335503,37.25,235.48,36.28,250270000.0,2973480000.0,16127600000.0,32077700000.0,1.1970942446984,3.8768958239829647,2.2506561120710646,10.261310815015722,-127.56607409495882,-90.18267376987751,130.637146788662
h242_21,24.163704724562937,0.4775621007586611,24.163704724562937,127.30164066760847,12672.127402373984,13893.167531449324,12567.717337407954,30.15,149.91,-83.66,12541.275843298434,14040.657254171781,12425.12479982924,107.26,207.17,36.12,7722270.0,130275000.0,31312600000.0,50861100000.0,0.33876857284838546,0.5579260692023174,2.5577237470413534,10.941917631927318,-130.85155907555054,147.48972272245737,-142.59253757871375
h242_30,18.88537237647163,0.41634706582972564,18.88537237647163,98.83795406398035,10653.68579970912,12067.237043983503,10793.155152492132,235.62,95.84,49.98,10872.994874973152,12072.450001851377,10780.965081917173,46.28,222.32,40.01,2310050.0,50093800.0,19012000000.0,33527500000.0,0.15588499898893768,0.7095408988580414,2.27687689151074,14.073473943720172,219.3090752640328,5.212957867874138,-12.190070574959464
h242_38,31.97998264129503,0.774023259178426,31.97998264129503,187.6425481477986,20809.71064945143,24165.68531724601,20097.817103329042,219.66,131.02,85.79,21006.115184453676,24023.770605210488,20355.79045090054,107.15,180.34,27.83,1093870.0,26002800.0,57156700000.0,53635800000.0,0.3578680157865554,0.2158880540970724,2.1178187320989874,14.118419681462212,196.40453500224612,-141.91471203552283,257.97334757149656
h242_69,34.74166589181999,0.5960564099855099,34.74166589181999,152.52910630277017,15846.269824013849,17907.26492376831,15854.873064388534,153.27,190.68,-46.9,15897.328593454422,18026.418317719374,15582.907424034524,95.75,199.6,39.81,15584400.0,165957000.0,46937100000.0,47310500000.0,0.9113919069303456,0.891230351412788,2.4495028817564584,16.56896717513819,51.05876944057309,119.15339395106275,-271.96564035401025
h242_401,11.230703727861338,0.3523603545349563,11.230703727861338,76.82113313849595,9048.931830725625,10063.579892030883,9072.947009546493,143.51,139.88,31.62,9183.416835479218,9986.586712929105,9094.069754184377,33.89,259.77,43.02,7043920.0,67564600.0,8144510000.0,25704500000.0,0.4494715793648076,0.8157158267592421,1.4348360735745953,13.432802117784579,134.48500475359288,-76.99317910177706,21.122744637883443
h329_7,37.69202940575687,0.835306496625468,37.69202940575687,173.69394322626744,22495.930578360476,17696.01956356796,21663.47227759122,26.08,-196.61,147.01,22359.758475413142,17563.814882344737,21983.090728010375,42.29,-170.5,56.46,17590500.0,295412000.0,52420300000.0,20718800000.0,2.0380418649969436,0.918820104249219,1.7271317795132202,4.6730057581547655,-136.17210294733377,-132.204681223222,319.6184504191551
h329_29,24.24559886637497,0.6156277117403143,24.24559886637497,137.2160999912304,16330.996341177479,13425.959784532168,16239.296645578175,115.67,-208.08,-105.48,16331.58823530187,13455.098669123678,16007.642528305701,45.61,-156.06,65.42,1072020.0,55643200.0,32675000000.0,27083700000.0,0.3931415979772891,0.5438689149831388,2.7027151018844426,12.364637375272249,0.5918941243908193,29.13888459150985,-231.65411727247374
h329_117,16.243175627671793,0.3953989649687662,16.243175627671793,80.50407230984747,10288.036804217094,8989.66776451704,10011.974325218276,57.81,-50.19,137.91,10331.611638663515,9056.10787446956,10134.741632673204,55.29,-130.79,32.23,2244770.0,31641900.0,9588960000.0,23838200000.0,0.30958358959626275,0.44566050867516377,1.8590045837911808,12.146921215948355,43.57483444642094,66.44010995252029,122.7673074549275
